"PaperID","TreatmentCode","n_Paper","TreatmentName_paper","Year","Outlet","Published","FirstTask","between_vs_within","Game_type","Standard_game","Group_size","One_Shot_Repeated","Choice_Method","Matching","Rounds","Punishment","Rewards","Monetary_Incentivized_experiment","Environment","Method_elicitation","Separate_sample_beliefs","Belief_repeated","Before_after_main_decisions","KW_Normative","KW_Personal","Bicchieri_Empirical","Bicchieri_Normative","Bicchieri_Personal_Beliefs","Bicchieri_between","Incentives_beliefs","StatusTreatment_Roma","Avg_coop","Var_coop","Avg_NE","Var_NE","Sd_Avg_NE","Sd_Avg_NE_min_max","specificity","max_sigma","Avg_EE","Avg_PNB","Var_EE","Var_PNB"
"2020Bas115","2c",115,"Private_UG",2020,"WP","Working Paper","Random","between","UG","no check","2","OneShot","Direct","PS",1,"N","N","Y","Lab","KW","N","N","before","Y","Y",NA,NA,NA,NA,"Y","6-Complete",0.419047619047619,0.0115668202764977,0.5,0.262528433945757,0.443002383486761,0.470866141732284,0.459448818897638,0.334643096073685,NA,NA,NA,NA
"2020Bas115","1c",115,"Social_UG",2020,"WP","Working Paper","Random","between","UG","no check","2","OneShot","Direct","PS",1,"N","N","Y","Lab","KW","N","N","before","Y","Y",NA,NA,NA,NA,"Y","6-Complete",0.473333333333333,0.00300564971751412,0.5,0.167186458749833,0.482248634758201,0.570731707317073,0.567073170731707,0.33468560392982,NA,NA,NA,NA
"2020Bas115","2b",115,"Private_DG_tax",2020,"WP","Working Paper","Random","between","DG Tax","Y","2","OneShot","Direct","PS",1,"N","N","Y","Lab","KW","N","N","before","Y","Y",NA,NA,NA,NA,"Y","6-Complete",0.295275590551181,0.0661382170978628,0.583333333333333,0.328906386701662,0.438512342569909,0.515748031496063,0.573228346456693,0.334643096073685,NA,NA,NA,NA
"2020Bas115","1b",115,"Social_DG_tax",2020,"WP","Working Paper","Random","between","DG Tax","Y","2","OneShot","Direct","PS",1,"N","N","Y","Lab","KW","N","N","before","Y","Y",NA,NA,NA,NA,"Y","6-Complete",0.45630081300813,0.0420040317206451,0.583333333333333,0.356414767426363,0.40938794113984,0.498373983739837,0.550406504065041,0.33468560392982,NA,NA,NA,NA
"2020Bas115","2a",115,"Private_DG",2020,"WP","Working Paper","Random","between","DG","Y","2","OneShot","Direct","PS",1,"N","N","Y","Lab","KW","N","N","before","Y","Y",NA,NA,NA,NA,"Y","6-Complete",0.265354330708661,0.047679040119985,0.5,0.0956880389951256,0.484479185015093,0.682677165354331,0.860629921259843,0.334643096073685,NA,NA,NA,NA
"2020Bas115","1a",115,"Social_DG",2020,"WP","Working Paper","Random","between","DG","Y","2","OneShot","Direct","PS",1,"N","N","Y","Lab","KW","N","N","before","Y","Y",NA,NA,NA,NA,"Y","6-Complete",0.420325203252033,0.0221244835399174,0.5,0.0818605890976943,0.509559921748546,0.717073170731707,0.875609756097561,0.33468560392982,NA,NA,NA,NA
"2020And089","4",89,"EX2_PublicDecisionCondition",2020,"JBEE","Published","N","between","PGG","N","4_10","OneShot","Strategy","P",1,"N","N","Y","Classroom","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.84297520661157,0.133471074380165,1,0.268352458828649,0.733295921230494,0,NA,0.335012605086404,0.606060606060606,NA,NA,NA
"2020And089","3",89,"EX2_PrivateDecisionCondition",2020,"JBEE","Published","N","between","PGG","N","4_10","OneShot","Strategy","P",1,"N","N","Y","Classroom","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.720338983050847,0.203172533681008,1,0.116764132553606,0.893704403999664,0,NA,0.335083126633356,0.75,NA,NA,NA
"2020And089","2",89,"EX1_PublicDecisionCondition",2020,"JBEE","Published","N","between","Donation Game","Y","4_8","OneShot","Direct","P",1,"N","N","Y","Classroom","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.567213114754098,0.161116915871014,1,0.0806530214424951,0.471711324937269,0.604166666666667,0.621527777777778,0.335083126633356,0.553333333333333,NA,NA,NA
"2020And089","1",89,"EX1_PrivateDecisionCondition",2020,"JBEE","Published","N","between","Donation Game","Y","4_8","OneShot","Direct","P",1,"N","N","Y","Classroom","KW","Y","N",NA,"Y",NA,NA,NA,NA,NA,"Y","6-Complete",0.601047120418848,0.162735739873243,1,0.150163769211388,0.464942406445931,0.848484848484848,0.717171717171717,0.335012605086404,0.503535353535354,NA,NA,NA
